,0,1,2,3,4,5
Unnamed: 0,Absolute Score Mean,Absolute Score SD,Regret Mean,Regret SD,Decision Consistency Mean,Decision Consistency SD
algo3_mab7,63.07,6.060728029075736,128.93,6.060728029075736,1.0,0.0
algo3_mab8,51.74,5.864841313826286,153.06,5.864841313826286,1.0,0.0
algo3_mab9,43.24,5.88461441971238,170.00799999999995,5.88461441971238,1.0,0.0
algo3_mab10,35.61,5.685165882462103,183.782,5.685165882462103,1.0,0.0
algo3_mab11,85.76,7.35962230036572,84.992,7.35962230036572,1.0,0.0
algo3_mab12,84.74,6.795155731412005,86.01200000000001,6.795155731412005,1.0,0.0
algo3_mab13,84.64,7.611156086278678,86.11200000000002,7.611156086278678,1.0,0.0
algo3_mab14,85.49,7.31746906623824,85.26200000000001,7.31746906623824,1.0,0.0
algo3_mab15,127.33,26.72457916063659,43.42200000000001,26.72457916063659,1.0,0.0
algo3_mab16,124.22,31.00263266761764,67.78,31.00263266761764,1.0,0.0
algo3_mab17,128.29,14.790998491097088,42.46200000000001,14.790998491097088,1.0,0.0
algo3_mab18,125.56,19.262839087137948,66.44,19.262839087137948,1.0,0.0
algo3_mab19,126.16,11.588674373601744,44.59200000000001,11.588674373601744,1.0,0.0
algo3_mab20,127.71,13.104317277642943,64.29,13.104317277642943,1.0,0.0
algo4_mab1,126.57,8.226902162534765,1.43,8.226902162534765,0.531640625,0.020977102180551727
algo4_mab2,107.99,7.576538747603644,20.01,7.576538747603644,0.5463671875,0.030821192895194638
algo4_mab3,150.67,8.032830362727925,20.082000000000008,8.032830362727925,0.5446484375,0.02813143843778267
algo4_mab4,98.45,7.568375190904784,29.55,7.568375190904784,0.554921875,0.031994851825315015
algo4_mab5,163.89,7.90076712807821,28.11,7.90076712807821,0.5629296875,0.03580092057645565
algo4_mab6,133.96,8.24611325646112,36.79200000000001,8.246113256461122,0.5686328125,0.033649837743398386
algo4_mab7,133.66,7.522652659155747,58.34,7.522652659155747,0.3038671875,0.0241901904249621
algo4_mab8,134.01,8.24559263969534,70.79,8.24559263969534,0.218515625,0.019494283198280792
algo4_mab9,133.54,7.20328208022376,79.70799999999998,7.20328208022376,0.1695703125,0.018473529562264144
algo4_mab10,134.98,7.4413260467025175,84.41199999999998,7.4413260467025175,0.1390234375,0.012366302338798141
algo4_mab11,128.85,8.539125638299666,41.90200000000001,8.539125638299666,0.2916015625,0.020828708944620543
algo4_mab12,128.23,8.310702604339646,42.52200000000001,8.310702604339646,0.2066796875,0.016694156055738554
algo4_mab13,128.74,8.740501337816019,42.01200000000001,8.740501337816019,0.162421875,0.012638564773080788
algo4_mab14,129.3,7.5792113339347145,41.45200000000001,7.5792113339347145,0.138125,0.011953406096087416
algo4_mab15,134.12,8.425886039791635,36.63200000000001,8.425886039791635,0.5503125,0.032446704431609415
algo4_mab16,135.17,7.861239781935856,56.83,7.861239781935856,0.29859375,0.021491153372852158
algo4_mab17,131.02,8.876230886332033,39.732000000000006,8.876230886332033,0.535546875,0.026676102327163883
algo4_mab18,133.04,8.89321611844067,58.96,8.89321611844067,0.2915234375,0.018939545601902228
algo4_mab19,133.71,8.816072329168547,37.04200000000001,8.816072329168547,0.5344921875,0.026869276968379773
